Departure Country,Arriving Country,Passengers
C,USA,8584.46
RA,RA,366.5
AG,AG,1319.76
G,WL,891.72
ES,NIC,56.0
RCH,RCH,10041.48
F,WV,488.72
WD,WL,647.36
AG,GB,329.94
RA,ROU,4972.04
G,AG,244.36
CR,ES,581.44
KY,KY,1709.7
WD,F,1050.36
G,G,7554.36
USVI,USVI,2576.8
AXA,AXA,597.16
MEX,MEX,9205.0
AG,F,244.36
CUR,CUR,180.0
CO,CO,795.88
PRI,PRI,2576.8
SXM,SXM,542.94
NIC,NIC,1148.6
F,WL,2760.6
C,C,597.16
BS,USA,1050.0
BS,BS,24972.76
TCA,TCA,1854.2
AXA,MRT,148.5
RA,RCH,1319.76
WG,WG,400.0
KAN,KAN,1916.92
CO,PA,323.92
BZ,GT,659.88
BZ,HN,659.88
EC,EC,309.92
MS,G,244.36
CR,CR,2171.46
DOM,DOM,659.88
PA,PA,4037.96
G,GB,244.36
BVI,USVI,4959.22
G,F,2272.16
BVI,BVI,1364.76
JA,JA,977.44
BR,BR,9623.3
DOM,PRI,597.16
RH,RH,597.16
MRT,BRT,275.0
TD,TD,1565.66
BM,BM,7275.47
BZ,MEX,2639.52
YV,YV,4224.2
WD,G,1466.16
BZ,BZ,3299.4
HN,HN,2703.76
WV,WV,4134.76
BRT,SXM,1089.72
